EngSpeed,EngOilPress,EngCoolantTemp,EngFuelRate,BatteryPotential_PowerInput1,ActualEngPercentTorque,BarometricPress,EngPercentLoadAtCurrentSpeed,NominalFrictionPercentTorque,EngsDesiredOperatingSpeed,EngIntakeManifold1Temp,EngIntakeManifold1Press
1.993770471,0.67459809,1.331462281,1.206034447,0.167047513,1.15114411,2.244207582,0.466342035,0.14970202,0.659133501,0.355527345,1.969595177
0.867417316,0.190061177,0.119510008,0.404564743,0.167047513,0.609537747,1.161646168,0.03458153,0.03111935,0.666859289,-0.109166436,0.869398918
-0.809129407,-0.831997983,0.119510008,-0.974637425,0.167047513,-0.6061155,-0.72232952,-0.828939482,-0.239926753,0.663768974,-1.038553998,-0.105060626
-0.809474634,-0.71835839,0.876980179,-0.78997758,0.167047513,-0.444602669,-1.012171934,-0.828939482,0.183582783,0.699307594,-1.038553998,-0.105060626
0.557649855,0.676689617,0.119510008,1.212930458,0.167047513,0.707522199,0.78485103,0.466342035,0.046365693,0.640591612,0.587874236,0.900833097
-0.808586907,-0.797139212,0.119510008,-0.893417742,0.167047513,-0.525359085,-0.606392555,-0.397178976,-0.138284464,0.659133501,0.123180455,-0.167928984
0.561447354,-0.26519437,-0.637960163,0.322578836,0.167047513,0.398844258,3.234019424,-6.873586559,-0.612615145,0.700852752,-2.664982232,0.27214952
-0.809302021,-0.65909848,-0.637960163,-0.655122256,0.167047513,-0.29924112,-1.012171934,-0.397178976,0.341128331,0.68385602,-0.457686772,-0.105060626
-0.809351339,-0.686985496,-0.637960163,-0.717186354,0.167047513,-0.363846253,-0.461471348,-0.828939482,-0.612615145,0.713214011,-2.897329123,-0.105060626
-0.480695016,-0.353038472,0.876980179,-0.030650164,0.167047513,0.224060455,-0.606392555,0.03458153,0.285225072,0.69621728,-0.457686772,0.083544447
-0.80986918,-0.859187824,-0.637960163,-0.999156575,0.167047513,-0.6061155,-0.92521921,0.03458153,0.369926979,0.657588344,0.007007009,-0.105060626
0.120419568,-0.905898577,-2.152900505,-1.281893019,0.167047513,0.150302929,0.176181962,-0.397178976,0.395337551,0.544791852,-0.922380553,1.026569812
0.751149717,-0.226849722,-0.637960163,0.996855451,0.167047513,0.439410898,1.026869445,0.898102541,0.124291448,0.654498029,0.355527345,0.335017877
-0.808586907,-0.749731284,-0.637960163,-0.799938484,0.167047513,-0.460753952,-0.616537039,-0.828939482,-0.333098851,0.637501298,-0.341513326,-0.167928984
-0.233389024,0.112674705,0.119510008,1.576886585,0.167047513,0.045319588,0.002276514,-0.397178976,0.717204799,0.666859289,-0.806207108,0.397886235
0.635843822,-0.067893727,-0.637960163,0.623704643,0.167047513,0.537933725,1.21961465,0.03458153,0.447852734,0.666859289,0.123180455,0.649359666
-0.327734694,-0.439488224,0.876980179,-0.167037934,0.167047513,0.23590473,-0.461471348,0.466342035,0.03111935,0.654498029,-0.573860217,0.335017877
0.821378799,1.321576876,0.119510008,1.466550412,0.167047513,1.2189795,1.016724961,0.898102541,-0.290747898,0.663768974,0.471700791,1.843858462
0.127620022,-1.317929247,0.119510008,-1.339359776,0.167047513,-0.557661651,-0.026707728,0.466342035,-0.104403702,0.634410983,1.168741463,0.083544447
-0.809499293,-0.814568597,0.119510008,-0.925599126,0.167047513,-0.565737292,-0.954203451,-0.397178976,0.37839717,0.688491492,-0.225339881,-0.105060626
-0.19349062,-0.33212321,0.119510008,0.393837615,0.167047513,0.266053792,-0.200613176,-0.397178976,0.573211557,0.659133501,-0.457686772,0.397886235
